Dia,Confirmados,Obitos,Internados,Recuperacao,Recuperados,taxa_letalidade
2020-04-25,99,18,16,,65,18.18182
2020-04-26,104,18,16,,70,17.30769
2020-04-27,118,21,18,,79,17.79661
2020-04-28,137,21,15,,101,15.32847
2020-04-29,142,21,14,,107,14.78873
2020-04-30,154,21,14,,119,13.63636
2020-05-01,158,21,13,,124,13.29114
2020-05-03,159,23,11,,125,14.46541
2020-05-04,159,23,12,,124,14.46541
2020-05-05,172,23,11,,138,13.37209
2020-05-06,188,23,16,,149,12.23404
2020-05-07,208,24,15,,169,11.53846
2020-05-08,248,25,15,,208,10.08065
2020-05-09,248,26,20,,202,10.48387
2020-05-10,266,28,21,,217,10.52632
2020-05-11,268,28,19,,221,10.44776
2020-05-12,307,28,19,,260,9.12052
2020-05-13,333,29,19,,285,8.70871
2020-05-14,362,29,23,,310,8.01105
2020-05-15,381,29,24,,328,7.61155
2020-05-17,423,29,37,,357,6.85579
2020-05-18,429,29,30,,370,6.75991
2020-05-19,486,30,28,,428,6.17284
2020-05-20,548,33,35,,480,6.02190
2020-05-21,577,33,38,,506,5.71924
2020-05-22,618,37,33,,548,5.98706
2020-05-23,658,40,32,,586,6.07903
2020-05-25,685,40,34,,611,5.83942
2020-05-26,694,41,45,,608,5.90778
2020-05-27,828,41,31,,756,4.95169
2020-05-28,870,43,30,,797,4.94253
2020-05-29,930,43,34,,853,4.62366
2020-06-01,995,46,39,,910,4.62312
2020-06-02,1083,50,47,,986,4.61681
2020-06-03,1097,53,47,,997,4.83136
2020-06-04,1202,56,53,,1093,4.65890
2020-06-05,1233,60,49,,1124,4.86618
2020-06-08,1333,67,59,,1207,5.02626
2020-06-09,1419,71,63,,1285,5.00352
2020-06-10,1498,73,66,,1359,4.87316
2020-06-13,1737,76,61,,1600,4.37536
2020-06-15,1837,80,74,,1683,4.35493
2020-06-16,1940,84,76,,1780,4.32990
2020-06-17,2159,87,81,148,1843,4.02964
2020-06-18,2779,88,95,258,2338,3.16661
2020-06-19,3129,89,91,257,2692,2.84436
2020-06-22,3406,96,100,392,2818,2.81856
2020-06-23,3617,97,94,471,2955,2.68178
2020-06-24,3776,105,109,483,3069,2.78072
2020-06-25,3872,109,110,578,3075,2.81508
2020-06-26,3978,113,82,601,3182,2.84062
2020-06-29,4925,122,76,714,4013,2.47716
2020-06-30,5400,124,100,667,4508,2.29630
2020-07-01,5672,130,93,515,4934,2.29196
2020-07-02,5894,135,94,655,5010,2.29046
